"Year","Quarter","Month","Group","Unit","Population","Deflator","Total Disposable Income (nominal $)","Total Factor Income (nominal $)","Total Posttax Income (nominal $)","Total Pretax Income (nominal $)","Disposable Income Per Unit (nominal $)","Factor Income Per Unit (nominal $)","Posttax Income Per Unit (nominal $)","Pretax Income Per Unit (nominal $)","Disposable Income Share","Factor Income Share","Posttax Income Share","Pretax Income Share"
"2021","1","2","Top 10%","Adults","24893269.672703743","0.94892859","6545491748427.504","8825563994540.863","6948669779140.286","8549677532296.713","262942.2263321577","354536.1501554122","279138.4928738278","343453.376945163","0.3932862664","0.4641327199","0.3654276377","0.4496239662"
"2021","1","3","Top 10%","Adults","24897555.775666814","0.95415735","6851295176712.532","9017474044019.398","6224409096130.3125","8794441200118.162","275179.4287939109","362183.1044488499","250000.8094053003","353225.0827895827","0.3284737909","0.4674508291","0.3226629957","0.4558891782"
"2021","2","4","Top 10%","Adults","24902445.927952584","0.9590646","6800483776902.184","9062000467170.043","6995158113835.777","8805344943757.87","273084.973121807","363900.015821261","280902.4516737863","353593.5774836485","0.3853771424","0.4665014418","0.3601027575","0.4532891078"
"2021","2","5","Top 10%","Adults","24908310.74149609","0.96403712","6856071483319.066","9123404010212.482","7214655551465.937","8866309286798.598","275252.3667491095","366279.5162986832","289648.5284105058","355957.8720056571","0.3980553575","0.466589405","0.3689721357","0.4534410586"
"2021","2","6","Top 10%","Adults","24915304.236841768","0.96951985","6900679265747.048","9218929306139.43","7327073823584.678","8980214598111.105","276965.4827470719","370010.7058097883","294079.2435819539","360429.6585241869","0.400700941","0.4668614445","0.3710548311","0.4547725468"
"2021","3","7","Top 10%","Adults","24922675.56383553","0.97403288","6907026058137.638","9324078694598.457","7356650885699.562","9106516016470.543","277138.2246037899","374120.2934137745","295179.0174717258","365390.786119477","0.3966338648","0.4665992401","0.3681444379","0.4557118833"
"2021","3","8","Top 10%","Adults","24931098.56235924","0.97832561","6915862489625.241","9407835272576.043","7411568130720.803","9197200281641.574","277399.0272561335","377353.4186247177","297282.051658595","368904.7339264636","0.3958416263","0.4666002998","0.3675914611","0.4561534392"
"2021","3","9","Top 10%","Adults","24939444.550610736","0.98219407","6914152370940.942","9504784776369.266","7581034569714.27","9380153566829.047","277237.6247959229","381114.5335286349","303977.6829964972","376117.1804686139","0.4010213203","0.4663670279","0.3719752346","0.460251804"
"2021","4","10","Top 10%","Adults","24946815.877604485","0.98895419","6967956484477.959","9635518562801.738","7702929973085.947","9532295584554.064","279312.4588991457","386242.4210799518","308774.0740493099","382104.6995064206","0.4014066615","0.4661511606","0.3726555805","0.4611573961"
"2021","4","11","Top 10%","Adults","24953058.52279606","0.99541289","6998877951103.119","9721266749227.66","7767190491184.487","9623670366445.816","280481.767183339","389582.1724758398","311272.0825019791","385670.9732658238","0.4010717279","0.4661374856","0.3724389785","0.4614577116"
"2021","4","12","Top 10%","Adults","24960278.235816382","1","7003724798885.725","9762972495341.588","7799982200516.758","9668298553185.04","280594.8208075595","391140.3712372226","312495.8034051195","387347.3869899277","0.4006060399","0.4656710452","0.3720409815","0.4611553185"
"1976","1","1","Top 1%","Adults","1424414.5236818034","0.25327381","101132679505.5954","166327767957.9406","122292878531.8923","166385816487.7958","70999.472291387","116769.2165395922","85854.8382501687","116809.9690936347","0.0825867199","0.1070071469","0.0786772544","0.1070444928"
"1976","1","2","Top 1%","Adults","1426840.55","0.25360942","102071638176.5046","168047898271.3767","123496521769.8062","168164438938.3296","71536.8218099104","117776.2282347363","86552.4334655377","117857.9056632008","0.0826621078","0.1071965487","0.0787775448","0.1072708885"
"1976","1","3","Top 1%","Adults","1429342.849032283","0.25415662","102513954817.4995","168569425434.6125","124032223756.2678","168644918222.1162","71721.039418153","117934.9136204376","86775.6982449957","117987.7300511175","0.0825850978","0.1070332383","0.0787543206","0.1070811725"
"1976","2","4","Top 1%","Adults","1431863.0841945312","0.25505453","101455499286.5287","167879693132.8784","123489185010.6517","168012194842.8041","70855.5869666831","117245.6326208843","86243.710291699","117338.1705956309","0.0815589848","0.1060406624","0.0780015423","0.1061243567"
