"Year","Quarter","Group","Unit","Population","Deflator","Total Wealth (nominal $)","Wealth Per Unit (nominal $)","Wealth Share"
"1990","1","Top 0.1%","Households","127010.9410579958","0.51771134","2171164495067.2368","17094310.749778938","0.1250179298"
"1990","2","Top 0.1%","Households","127568.7432860239","0.52350646","2214709796109.335","17360912.54848924","0.1256150573"
"1990","3","Top 0.1%","Households","128113.4845071295","0.52799726","2117686397206.7632","16529769.72216312","0.122427072"
"1990","4","Top 0.1%","Households","128667.2138671134","0.53192663","2215734319822.2217","17220659.818674684","0.1248223741"
"1991","1","Top 0.1%","Households","129273.3549148601","0.53713566","2301124107966.487","17800451.682266742","0.1256000256"
"1991","2","Top 0.1%","Households","129916.7833689732","0.54108161","2262054675189.8643","17411566.20823549","0.1236203801"
"1991","3","Top 0.1%","Households","130523.6445026753","0.54530823","2281836692733.214","17482171.15318477","0.1226896541"
"1991","4","Top 0.1%","Households","131119.748025522","0.54854423","2376181696487.305","18122225.921489645","0.123835875"
"1992","1","Top 0.1%","Households","131694.6134544497","0.55058324","2371065328271.378","18004269.621031065","0.1241979617"
"1992","2","Top 0.1%","Households","132200.7203146718","0.55389357","2384016829316.839","18033311.948998947","0.1246829473"
"1992","3","Top 0.1%","Households","132629.8494968863","0.55660123","2448652197308.541","18462300.957116194","0.126207449"
"1992","4","Top 0.1%","Households","133033.3973241276","0.5604316","2596254850003.453","19515812.587104276","0.1299419206"
"1993","1","Top 0.1%","Households","133469.3003085505","0.56357676","2628870973266.3643","19696446.80229098","0.1295046076"
"1993","2","Top 0.1%","Households","133940.3696426084","0.56692845","2642000868896.7617","19725202.1623233","0.1289601888"
"1993","3","Top 0.1%","Households","134399.5389375236","0.57029653","2695400076793.745","20055128.894800134","0.1292711723"
"1993","4","Top 0.1%","Households","134856.1648888066","0.57340866","2760490861541.016","20469890.00330191","0.1299642646"
"1994","1","Top 0.1%","Households","135307.4870148598","0.57614928","2732629180923.92","20195698.26630374","0.1286732055"
"1994","2","Top 0.1%","Households","135724.6622004743","0.57893133","2722894487878.479","20061899.169486117","0.1276262805"
"1994","3","Top 0.1%","Households","136112.8792081443","0.58224988","2759974080234.2","20277097.18794236","0.1272840487"
"1994","4","Top 0.1%","Households","136529.6090282325","0.58541155","2778438045669.525","20350443.141567785","0.1271419201"
"1995","1","Top 0.1%","Households","137037.0837905128","0.58858985","2862721267835.7036","20890121.043526556","0.127883132"
"1995","2","Top 0.1%","Households","137647.7890953254","0.59141302","2956103334421.4683","21475850.45753458","0.1288512301"
"1995","3","Top 0.1%","Households","138260.7021093808","0.59432715","3069792470286.129","22202928.405915048","0.1303425114"
"1995","4","Top 0.1%","Households","138887.1005187952","0.59719163","3201230600787.217","23049157.112715464","0.1322549058"
"1996","1","Top 0.1%","Households","139500.8299096652","0.6000644","3309793259930.831","23725975.40870626","0.1338036109"
"1996","2","Top 0.1%","Households","140042.2944473319","0.60254914","3399481631542.3535","24274678.1960278","0.1352667976"
"1996","3","Top 0.1%","Households","140488.519871794","0.60452223","3441581917396.908","24497246.6115922","0.1355892241"
"1996","4","Top 0.1%","Households","140908.5884927799","0.60774994","3576699558893.6436","25383119.632036567","0.1371131826"
"1997","1","Top 0.1%","Households","141366.2935881327","0.6113739","3718959257796.123","26307255.876929346","0.141743774"
"1997","2","Top 0.1%","Households","141875.8825076983","0.61261219","4067647960558.0767","28670468.078585252","0.1467639032"
"1997","3","Top 0.1%","Households","142390.7849144919","0.61527038","4306240799558.103","30242412.12058824","0.1496993875"
"1997","4","Top 0.1%","Households","142929.9048607721","0.61729282","4434937245393.178","31028756.71619068","0.151698592"
"1998","1","Top 0.1%","Households","143525.0924699221","0.61820096","4840253101285.278","33724089.76012071","0.1558892898"
"1998","2","Top 0.1%","Households","144144.0727376888","0.61965382","4937147759704.445","34251479.550525755","0.1565356793"
"1998","3","Top 0.1%","Households","144737.2013137694","0.62232023","4644989560128.408","32092575.495215908","0.1521393251"
"1998","4","Top 0.1%","Households","145318.6726002573","0.62402904","5174137061791.214","35605452.274011835","0.1574275286"
"1999","1","Top 0.1%","Households","145935.5878455378","0.62602675","5166524322071.451","35402771.855346486","0.1560041658"
"1999","2","Top 0.1%","Households","146539.3335540325","0.62839597","5407705801511.083","36902759.623354875","0.1582385558"
"1999","3","Top 0.1%","Households","147071.3835314724","0.63063312","5263276425349.24","35787223.17671629","0.1558737465"
"1999","4","Top 0.1%","Households","147532.0615374552","0.63411677","5947537906039.244","40313528.083719574","0.162500174"
"2000","1","Top 0.1%","Households","147928.0531194555","0.63832688","6293872577433.729","42546849.26023649","0.1662873594"
"2000","2","Top 0.1%","Households","148246.8078855638","0.64230585","6175537072662.928","41657133.53794444","0.1651626778"
"2000","3","Top 0.1%","Households","148513.5729100483","0.64607018","6339477177774.558","42686180.485431135","0.1668912497"
"2000","4","Top 0.1%","Households","148793.2319615059","0.64957863","6042438601852.549","40609633.39660355","0.1629242016"
"2001","1","Top 0.1%","Households","149156.2267970545","0.65383822","5750786861652.133","38555459.50137764","0.1573969699"
"2001","2","Top 0.1%","Households","149633.689899908","0.65779245","6097196332393.343","40747483.648046374","0.1613460558"
"2001","3","Top 0.1%","Households","150162.6803756205","0.66037631","5642090281019.25","37573185.74033169","0.1556360319"
"2001","4","Top 0.1%","Households","150705.8108143828","0.66243184","6106533822922.246","40519564.507325955","0.1609030448"
"2002","1","Top 0.1%","Households","151251.622172147","0.66456991","6184439758946.893","40888419.377797306","0.1606186974"
"2002","2","Top 0.1%","Households","151744.5812625465","0.66687304","5899824779634.093","38879970.08226799","0.157220718"
"2002","3","Top 0.1%","Households","152163.0910748343","0.67008436","5419291783728.229","35615021.655041195","0.1502251427"
"2002","4","Top 0.1%","Households","152551.8961174521","0.67393118","5640749677246.228","36975939.472448945","0.1526573865"
"2003","1","Top 0.1%","Households","152949.8639423772","0.67729104","5516576989265.117","36067877.71542869","0.1489541335"
"2003","2","Top 0.1%","Households","153366.4148641779","0.67962724","6006116990376.094","39161879.05738778","0.1540558579"
"2003","3","Top 0.1%","Households","153784.8282668621","0.68349057","6175134815396.457","40154382.49006446","0.1551286789"
"2003","4","Top 0.1%","Households","154248.9925021367","0.68770075","6640002855926.813","43047301.3030204","0.1586310516"
"2004","1","Top 0.1%","Households","154795.2701745951","0.69256294","7093979756215.475","45828142.863887936","0.1608861826"
"2004","2","Top 0.1%","Households","155419.200820143","0.69812691","7099224078457.4","45677908.78472534","0.1590579712"
"2004","3","Top 0.1%","Households","156050.0650017449","0.70260942","7210363911816.357","46205452.79321565","0.1584191504"
"2004","4","Top 0.1%","Households","156655.304725789","0.70804125","7684969440303.728","49056554.15726633","0.1602044366"
"2005","1","Top 0.1%","Households","157249.0334326975","0.71367961","7789124683352.975","49533688.78217439","0.1604157695"
"2005","2","Top 0.1%","Households","157783.7381750195","0.71887201","8103260099143.369","51356750.656743445","0.1624692204"
"2005","3","Top 0.1%","Households","158241.4209609337","0.72541016","8445151166294.729","53368777.372010894","0.1644558386"
"2005","4","Top 0.1%","Households","158673.8263019929","0.73127949","8731545292541.01","55028264.56029909","0.1653279243"
"2006","1","Top 0.1%","Households","159138.2581247849","0.73643064","9298879768609.963","58432710.51338542","0.1705711406"
"2006","2","Top 0.1%","Households","159653.7020131883","0.74296045","9146238500663.693","57287982.585635014","0.1685014779"
"2006","3","Top 0.1%","Households","160185.9386080619","0.74814469","9351983785456.262","58382051.924909666","0.1691009109"
"2006","4","Top 0.1%","Households","160745.1538903717","0.75094324","9732659114105.148","60547138.613851026","0.1716114589"
"2007","1","Top 0.1%","Households","161363.6864379327","0.75814158","10052744262207.38","62298677.50371513","0.1747939833"
"2007","2","Top 0.1%","Households","162018.9506082088","0.76321024","10133387556802.29","62544458.64981966","0.1743729588"
"2007","3","Top 0.1%","Households","162634.241631768","0.76717275","10337817678649.41","63564828.506754525","0.1758485325"
"2007","4","Top 0.1%","Households","163191.2617281804","0.77042526","10196877878942.6","62484214.96934704","0.1757357158"
"2008","1","Top 0.1%","Households","163683.0828782342","0.77313292","9982967310189.523","60989609.52254286","0.178813712"
"2008","2","Top 0.1%","Households","164081.9120407974","0.77705407","9747962754237.117","59409124.58293013","0.1790800982"
"2008","3","Top 0.1%","Households","164419.30400594","0.78291523","9351600658494.186","56876537.18663314","0.1807122483"
"2008","4","Top 0.1%","Households","164783.2575797131","0.78477269","8566532976311.942","51986670.86774835","0.1781818521"
"2009","1","Top 0.1%","Households","165263.4566080947","0.78438467","8050094931049.9375","48710677.46174468","0.1747321751"
"2009","2","Top 0.1%","Households","165907.4146050514","0.78301424","8234220703969.148","49631420.775081135","0.1755646157"
"2009","3","Top 0.1%","Households","166608.8195145837","0.78385633","8586995541964.428","51539861.85714968","0.1760578683"
"2009","4","Top 0.1%","Households","167291.0877753594","0.78644013","8502077238252.508","50822057.23755712","0.1732414836"
"2010","1","Top 0.1%","Households","167896.325031342","0.78857827","8832900637320.387","52609255.35845711","0.1764130602"
