"Year","Quarter","Group","Unit","Population","Deflator","Total Wealth (nominal $)","Wealth Per Unit (nominal $)","Wealth Share"
"1999","1","Total","Households","145935587.8455378","0.62602675","33117861273657.02","226934.7851513084","1"
"1999","2","Total","Households","146539333.5540325","0.62839597","34174387991615.7","233209.6588866688","1"
"1999","3","Total","Households","147071383.5314724","0.63063312","33766279079470.55","229591.0888214686","1"
"1999","4","Total","Households","147532061.53745517","0.63411677","36600194084816.01","248082.9841554408","1"
"2000","1","Total","Households","147928053.1194555","0.63832688","37849374732322.37","255863.4007151982","1"
"2000","2","Total","Households","148246807.88556382","0.64230585","37390633006138.45","252218.8068629539","1"
"2000","3","Total","Households","148513572.9100483","0.64607018","37985677428933.8","255772.4299848402","1"
"2000","4","Total","Households","148793231.96150592","0.64957863","37087421905726.9","249254.7639218008","1"
"2001","1","Total","Households","149156226.7970545","0.65383822","36536833376396.54","244956.8091187331","1"
"2001","2","Total","Households","149633689.899908","0.65779245","37789559240703.18","252547.1320394567","1"
"2001","3","Total","Households","150162680.3756205","0.66037631","36251825566576.88","241417.0117095386","1"
"2001","4","Total","Households","150705810.81438282","0.66243184","37951636210527.03","251825.9648081537","1"
"2002","1","Total","Households","151251622.172147","0.66456991","38503859500075.46","254568.2416301777","1"
"2002","2","Total","Households","151744581.2625465","0.66687304","37525746308641.64","247295.4618637425","1"
"2002","3","Total","Households","152163091.0748343","0.67008436","36074465871864.95","237077.6356936875","1"
"2002","4","Total","Households","152551896.11745209","0.67393118","36950388090366.18","242215.2004057524","1"
"2003","1","Total","Households","152949863.9423772","0.67729104","37035407213616.42","242140.8313744513","1"
"2003","2","Total","Households","153366414.8641779","0.67962724","38986618701027.84","254205.7120886251","1"
"2003","3","Total","Households","153784828.2668621","0.68349057","39806532603981.7","258845.6420090128","1"
"2003","4","Total","Households","154248992.5021367","0.68770075","41858153185793.51","271367.4333089318","1"
"2004","1","Total","Households","154795270.1745951","0.69256294","44093157287404.05","284848.2207348516","1"
"2004","2","Total","Households","155419200.82014298","0.69812691","44632934941562.2","287177.7406268684","1"
"2004","3","Total","Households","156050065.0017449","0.70260942","45514471534144.91","291665.8287430767","1"
"2004","4","Total","Households","156655304.72578898","0.70804125","47969766643226.08","306212.2072865189","1"
"2005","1","Total","Households","157249033.4326975","0.71367961","48555854003354.1","308783.1635170971","1"
"2005","2","Total","Households","157783738.1750195","0.71887201","49875663083182.72","316101.4161539183","1"
"2005","3","Total","Households","158241420.9609337","0.72541016","51352090859352.97","324517.3769769842","1"
"2005","4","Total","Households","158673826.3019929","0.73127949","52813493712716.01","332843.1345204958","1"
"2006","1","Total","Households","159138258.12478492","0.73643064","54516137566901.38","342570.9078966649","1"
"2006","2","Total","Households","159653702.0131883","0.74296045","54279871095319.56","339985.0452001153","1"
"2006","3","Total","Households","160185938.6080619","0.74814469","55304159724410.79","345249.7778829847","1"
"2006","4","Total","Households","160745153.89037168","0.75094324","56713340558755.28","352815.2431732643","1"
"2007","1","Total","Households","161363686.4379327","0.75814158","57511958217685.71","356412.0248319143","1"
"2007","2","Total","Households","162018950.6082088","0.76321024","58113297073219.33","358682.0977118153","1"
"2007","3","Total","Households","162634241.631768","0.76717275","58788194186945.3","361474.887435156","1"
"2007","4","Total","Households","163191261.7281804","0.77042526","58023935744668.02","355557.8597174867","1"
"2008","1","Total","Households","163683082.87823418","0.77313292","55828869039977.56","341079.0416350438","1"
"2008","2","Total","Households","164081912.0407974","0.77705407","54433534786620.24","331746.1023557908","1"
"2008","3","Total","Households","164419304.00594","0.78291523","51748571263772.36","314735.3747580809","1"
"2008","4","Total","Households","164783257.57971308","0.78477269","48077471836029.86","291761.8727908242","1"
"2009","1","Total","Households","165263456.6080947","0.78438467","46071050890978.97","278773.3709348203","1"
"2009","2","Total","Households","165907414.60505143","0.78301424","46901368323898.73","282696.0352287396","1"
"2009","3","Total","Households","166608819.51458368","0.78385633","48773710746885.23","292743.8708766311","1"
"2009","4","Total","Households","167291087.7753594","0.78644013","49076451325522.91","293359.6282870932","1"
"2010","1","Total","Households","167896325.031342","0.78857827","50069425849672.56","298216.3298709836","1"
"2010","2","Total","Households","168395761.7077021","0.79242516","48993274960922.86","290941.2592340915","1"
"2010","3","Total","Households","168810728.63782918","0.79481912","51016977210632.33","302214.0691074525","1"
"2010","4","Total","Households","169239701.4191705","0.79947507","52641254719617.43","311045.5423768228","1"
"2011","1","Total","Households","169802645.1659299","0.80360258","53708387987643.86","316298.8888374525","1"
"2011","2","Total","Households","170541697.57439968","0.80891061","53887209459974.02","315976.7389817699","1"
"2011","3","Total","Households","171318380.1034732","0.81391323","51646162916905.7","301463.0589298846","1"
"2011","4","Total","Households","172040403.026076","0.81489551","53006123912014.78","308102.7652788089","1"
"2012","1","Total","Households","172632666.07804498","0.81984043","55168965909512.59","319574.3144265143","1"
"2012","2","Total","Households","173011515.0498813","0.82314241","54936900990001.58","317533.2056606903","1"
"2012","3","Total","Households","173242961.77077731","0.82741034","56809061645628.03","327915.5531916714","1"
"2012","4","Total","Households","173480024.2571541","0.83160394","57701669764764.45","332612.760528738","1"
"2013","1","Total","Households","173884439.4968919","0.83493078","60271156998336.19","346616.1617032645","1"
"2013","2","Total","Households","174550653.19192052","0.83730006","60863189802499.08","348684.973040916","1"
"2013","3","Total","Households","175332604.7960175","0.84124589","62969765328871.38","359144.640565459","1"
"2013","4","Total","Households","176108055.4877906","0.84627324","64992954141018.49","369051.5687144384","1"
"2014","1","Total","Households","176789020.6394212","0.8497982","66563061721909.64","376511.2871894439","1"
"2014","2","Total","Households","177271748.2600533","0.85461098","68418517244609.05","385952.7415741439","1"
"2014","3","Total","Households","177615768.5622891","0.85834223","68785448357201.59","387271.0678448509","1"
"2014","4","Total","Households","177988995.84966382","0.85977042","70543005096133.3","396333.5191559627","1"
"2015","1","Total","Households","178572277.4443167","0.859465","72151082944866.06","404044.1437913821","1"
"2015","2","Total","Households","179445701.2940515","0.8641209","72489936262525.53","403965.8556308282","1"
"2015","3","Total","Households","180375430.6299994","0.86669642","71064476571939.17","393980.911500704","1"
"2015","4","Total","Households","181147354.2745472","0.86661386","72810731868598.58","401942.0110229517","1"
"2016","1","Total","Households","181588765.038105","0.86592042","73872466358197.44","406811.8770602128","1"
"2016","2","Total","Households","181536888.4774734","0.87203753","75087068039402.53","413618.7893774546","1"
"2016","3","Total","Households","181193410.82330748","0.87445623","76713297064889","423377.9623459747","1"
"2016","4","Total","Households","180824316.576873","0.87906259","77316285960286.17","427576.8183391256","1"
"2017","1","Total","Households","180656725.59509218","0.88350385","79656033693205.34","440924.8171127559","1"
"2017","2","Total","Households","180881554.3598183","0.8863436","81154187417259.88","448659.2770859546","1"
"2017","3","Total","Households","181366805.258418","0.89075184","83118245395591.6","458288.0824148703","1"
"2017","4","Total","Households","181947483.5534536","0.89708346","85831262409527.86","471736.4633642314","1"
"2018","1","Total","Households","182501907.15960202","0.90196228","86770488622723.02","475449.7636391288","1"
"2018","2","Total","Households","182879382.1878254","0.90999448","88036370306399.89","481390.3527735157","1"
"2018","3","Total","Households","183073735.9666712","0.91299111","90048178837791.77","491868.3631069022","1"
"2018","4","Total","Households","183157723.2166866","0.91776264","85797423343228.78","468434.6465790321","1"
"2019","1","Total","Households","183206753.53528118","0.92056108","91607589242742.78","500022.9930121074","1"
"2019","2","Total","Households","183385019.82067868","0.9258278","93615864377651.8","510488.0675051495","1"
"2019","3","Total","Households","183641428.2430471","0.92884094","94264273096798.5","513306.1422939977","1"
"2019","4","Total","Households","183896734.2820053","0.93264657","98029633385220.84","533068.9191842449","1"
"2020","1","Total","Households","184088352.3540039","0.93568444","90743295026399.28","492933.386963554","1"
"2020","2","Total","Households","184293931.96292108","0.93166423","99005273644921.64","537213.9635332158","1"
"2020","3","Total","Households","184556489.8970693","0.94015872","103174489746355.1","559040.1605703353","1"
"2020","4","Total","Households","184806570.0427805","0.94470727","111330171611350.7","602414.5764167319","1"
"2021","1","Total","Households","184916063.5301386","0.95472074","116044432058784.8","627551.9273092856","1"
"2021","2","Total","Households","185026677.2773946","0.96925795","121596789018187","657185.1735514192","1"
"2021","3","Total","Households","185192964.3662771","0.9833082","126781635754575.5","684592.075019789","1"
"2021","4","Total","Households","185358697.28403983","1","129927100804211.5","700949.5788865731","1"
"1976","1","Bottom 50%","Households","47710854.04149024","0.25500882","17114493583.49386","358.7127903561","0.0039327115"
"1976","2","Bottom 50%","Households","48061760.42612918","0.25757614","16045896142.50934","333.8599335572","0.0035642436"
"1976","3","Bottom 50%","Households","48423163.59523936","0.26090294","11129752539.90585","229.8435648058","0.0024278358"
"1976","4","Bottom 50%","Households","48788095.90942821","0.26558363","7629226801.450345","156.3747602615","0.0016179298"
"1977","1","Bottom 50%","Households","49155157.97565158","0.26985976","10362779948.62824","210.8177529154","0.0021673863"
"1977","2","Bottom 50%","Households","49509845.53443917","0.27366537","11182361418.1292","225.8613675203","0.0022697612"
"1977","3","Bottom 50%","Households","49825285.53394372","0.2769922","10255153120.89229","205.8222649603","0.0020381163"
"1977","4","Bottom 50%","Households","50122911.3258099","0.28297713","10415549951.23635","207.8001791144","0.002022114"
"1978","1","Bottom 50%","Households","50425172.085143045","0.28709644","9163122767.257671","181.7172334442","0.0017355886"
"1978","2","Bottom 50%","Households","50733248.77419935","0.29258609","3733808816.047881","73.5968798818","0.0006806991"
"1978","3","Bottom 50%","Households","51030171.082143955","0.2975474","-756244661.2165562","-14.8195595895","-0.0001327536"
"1978","4","Bottom 50%","Households","51328855.714239955","0.30363971","-7963987946.793397","-155.1561560447","-0.0013672747"
"1979","1","Bottom 50%","Households","51650496.57425385","0.30917063","983751463.4849721","19.0463118214","0.0001617693"
"1979","2","Bottom 50%","Households","51994277.686627045","0.3167488","2682791518.061615","51.5978226341","0.000425851"
"1979","3","Bottom 50%","Households","52301662.11156325","0.32366663","3612080183.928496","69.0624358404","0.000552441"
"1979","4","Bottom 50%","Households","52700482.4873045","0.32967636","4286812132.212641","81.3429389996","0.0006354185"
"1980","1","Bottom 50%","Households","53013127.916688204","0.33660239","6076940175.695025","114.6308549317","0.0008832602"
"1980","2","Bottom 50%","Households","53339312.8502383","0.34460983","14489809019.35279","271.653462429","0.0020185431"
"1980","3","Bottom 50%","Households","53679599.720013395","0.35231188","21293976110.552742","396.6865666216","0.0028287739"
"1980","4","Bottom 50%","Households","53935107.1319247","0.36149156","17253245910.2364","319.8889707966","0.0022156183"
"1981","1","Bottom 50%","Households","54178983.6469628","0.37100971","19986197582.11504","368.8920728441","0.0025229949"
"1981","2","Bottom 50%","Households","54447570.6292641","0.37836501","25683161325.12481","471.7044494051","0.0031531626"
"1981","3","Bottom 50%","Households","54693452.11035495","0.38548091","25139675215.92991","459.6468909149","0.0030637065"
"1981","4","Bottom 50%","Households","54940611.2899902","0.3921428","29338537711.795017","534.0045737194","0.003461525"
"1982","1","Bottom 50%","Households","55209280.06947655","0.39754167","42718708800.261284","773.7595698858","0.0049753934"
"1982","2","Bottom 50%","Households","55500974.6245089","0.40270939","45334054208.21434","816.8154616189","0.0052193959"
"1982","3","Bottom 50%","Households","55783928.856246755","0.40842187","57128494550.939476","1024.1031014176","0.0064084546"
"1982","4","Bottom 50%","Households","56056220.97558035","0.4126485","62001429752.22813","1106.0579659702","0.0067410727"
"1983","1","Bottom 50%","Households","56323221.141811706","0.4157607","79278178511.81665","1407.5576095374","0.0083352711"
"1983","2","Bottom 50%","Households","56567997.27234995","0.41885632","81881027586.47964","1447.4796976152","0.0083599846"
"1983","3","Bottom 50%","Households","56783601.50283475","0.42330587","76178115708.26036","1341.5513227786","0.0076887761"
"1983","4","Bottom 50%","Households","56996558.46001245","0.42651707","65782301111.98145","1154.1451429586","0.0066074346"
"1984","1","Bottom 50%","Households","57231514.8957177","0.4308345","67895002939.19375","1186.3219602505","0.0067184889"
"1984","2","Bottom 50%","Households","57499685.1170196","0.43451631","56961565951.52632","990.6413545675","0.0055580321"
"1984","3","Bottom 50%","Households","57770678.14873435","0.43837973","57250231565.24244","990.9911636808","0.0054142124"
"1984","4","Bottom 50%","Households","58055515.43533275","0.44165701","49160789757.99614","846.7893082916","0.0045420399"
"1985","1","Bottom 50%","Households","58370593.43939995","0.44602394","55530978754.7606","951.3519647939","0.0049662376"
"1985","2","Bottom 50%","Households","58697845.29183354","0.44889671","56696496174.97098","965.9042149348","0.0049394381"
"1985","3","Bottom 50%","Households","59008558.1933839","0.45160443","50035097092.550865","847.9294974226","0.0043094373"
"1985","4","Bottom 50%","Households","59316378.58875225","0.4541305","59863165851.767136","1009.2181497931","0.0048977642"
"1986","1","Bottom 50%","Households","59641162.805117","0.45639235","77221375273.70247","1294.7664271072","0.0060823644"
"1986","2","Bottom 50%","Households","59970294.254114","0.45811769","80549629119.44444","1343.1588108961","0.0061934196"
"1986","3","Bottom 50%","Households","60270228.083580896","0.45999983","71138609272.64078","1180.3275271165","0.0054399461"
"1986","4","Bottom 50%","Households","60548709.117243044","0.46250117","73078521857.9221","1206.9377353102","0.0053854823"
"1987","1","Bottom 50%","Households","60808932.15669995","0.46543998","112618122103.1268","1851.9996669719","0.0079122395"
"1987","2","Bottom 50%","Households","61038874.408199295","0.46866772","114395723646.3162","1874.1453664642","0.0078983191"
"1987","3","Bottom 50%","Households","61231420.295725144","0.47220919","121317834749.9807","1981.3003546882","0.0081701463"
"1987","4","Bottom 50%","Households","61409577.6122166","0.47597352","109552110784.1836","1783.9580574218","0.0075496649"
"1988","1","Bottom 50%","Households","61603450.159423","0.47970483","121198348504.2352","1967.3954655232","0.0081093605"
"1988","2","Bottom 50%","Households","61818010.618989","0.48437718","123783767533.1123","2002.3900202167","0.0080802805"
"1988","3","Bottom 50%","Households","62032638.081774645","0.49016401","118963094873.4576","1917.7500514589","0.007654545"
"1988","4","Bottom 50%","Households","62256400.29974704","0.49439895","120565393501.0701","1936.5943568947","0.0075507228"
"1989","1","Bottom 50%","Households","62499686.30725396","0.49955836","129765627703.0189","2076.2604641738","0.0079532088"
"1989","2","Bottom 50%","Households","62750699.947086","0.50487465","129889559837.5623","2069.930055714","0.0077834815"
"1989","3","Bottom 50%","Households","62985958.93090925","0.50856471","139494259801.2589","2214.6881966864","0.008116129"
"1989","4","Bottom 50%","Households","63234566.42118435","0.51218873","137439741467.4877","2173.4906910257","0.0078545543"
"1990","1","Bottom 50%","Households","63505470.5289979","0.51771134","124151169156.3779","1954.9681015227","0.0071487546"
"1990","2","Bottom 50%","Households","63784371.64301195","0.52350646","118763484613.986","1861.9527253272","0.0067360888"
"1990","3","Bottom 50%","Households","64056742.253564745","0.52799726","99405482533.0754","1551.8348113862","0.0057468009"
"1990","4","Bottom 50%","Households","64333606.9335567","0.53192663","94218343424.52763","1464.5276071935","0.0053077471"
"1991","1","Bottom 50%","Households","64636677.45743004","0.53713566","112282303676.6036","1737.1298787837","0.0061285961"
"1991","2","Bottom 50%","Households","64958391.6844866","0.54108161","106810520726.60301","1644.2913372209","0.0058371521"
"1991","3","Bottom 50%","Households","65261822.25133765","0.54530823","113422128820.8125","1737.9552839331","0.006098474"
"1991","4","Bottom 50%","Households","65559874.012761","0.54854423","115897628461.4083","1767.813471375","0.0060400618"
"1992","1","Bottom 50%","Households","65847306.72722486","0.55058324","108708353177.581","1650.9157106138","0.0056942151"
"1992","2","Bottom 50%","Households","66100360.1573359","0.55389357","94925205466.2176","1436.0769781023","0.0049645431"
"1992","3","Bottom 50%","Households","66314924.74844315","0.55660123","83851349159.18729","1264.4415940645","0.0043218326"
"1992","4","Bottom 50%","Households","66516698.66206379","0.5604316","74128865216.35526","1114.4399332409","0.0037101316"
"1993","1","Bottom 50%","Households","66734650.154275246","0.56357676","87684928670.4075","1313.9340427754","0.0043195738"
"1993","2","Bottom 50%","Households","66970184.8213042","0.56692845","87863996946.70772","1311.9867771181","0.0042887789"
"1993","3","Bottom 50%","Households","67199769.46876179","0.57029653","84501720247.1412","1257.4703888891","0.0040526957"
"1993","4","Bottom 50%","Households","67428082.44440329","0.57340866","77585496683.53159","1150.6407103821","0.0036527352"
"1994","1","Bottom 50%","Households","67653743.5074299","0.57614928","73383400118.6363","1084.6909027374","0.0034554551"
"1994","2","Bottom 50%","Households","67862331.10023715","0.57893133","58079219451.27009","855.8388506502","0.0027222629"
"1994","3","Bottom 50%","Households","68056439.60407214","0.58224988","47605866277.06567","699.5056831362","0.0021954798"
"1994","4","Bottom 50%","Households","68264804.51411624","0.58541155","20496850549.15733","300.2550244602","0.0009379403"
"1995","1","Bottom 50%","Households","68518541.8952564","0.58858985","31000616165.225563","452.4412707529","0.0013848557"
"1995","2","Bottom 50%","Households","68823894.5476627","0.59141302","26060651070.74889","378.6570237274","0.0011359369"
"1995","3","Bottom 50%","Households","69130351.05469039","0.59432715","15467914442.8191","223.7499767733","0.0006567632"
"1995","4","Bottom 50%","Households","69443550.25939761","0.59719163","7807298384.799543","112.4265443751","0.0003225489"
"1996","1","Bottom 50%","Households","69750414.9548326","0.6000644","5493537599.869765","78.7599271406","0.0002220849"
"1996","2","Bottom 50%","Households","70021147.22366595","0.60254914","-11295664451.7443","-161.3179003718","-0.0004494592"
"1996","3","Bottom 50%","Households","70244259.935897","0.60452223","-28422735404.43388","-404.6271600038","-0.0011197806"
"1996","4","Bottom 50%","Households","70454294.24638996","0.60774994","-39106254919.667435","-555.058500521","-0.0014991427"
"1997","1","Bottom 50%","Households","70683146.79406634","0.6113739","-51478132524.08348","-728.2942944527","-0.0019620287"
"1997","2","Bottom 50%","Households","70937941.25384916","0.61261219","-50741542519.370766","-715.2948284444","-0.0018307943"
"1997","3","Bottom 50%","Households","71195392.45724595","0.61527038","-60841098677.499214","-854.5651140842","-0.0021150409"
"1997","4","Bottom 50%","Households","71464952.43038605","0.61729282","-81211100990.51828","-1136.3766185897","-0.0027778543"
"1998","1","Bottom 50%","Households","71762546.23496105","0.61820096","-57633138669.78072","-803.108887484","-0.0018561817"
"1998","2","Bottom 50%","Households","72072036.3688444","0.61965382","-74780289788.5006","-1037.5770348127","-0.0023709607"
"1998","3","Bottom 50%","Households","72368600.6568847","0.62232023","-107277198190.1996","-1482.3721505798","-0.0035136958"
"1998","4","Bottom 50%","Households","72659336.30012867","0.62402904","-95962866299.50508","-1320.7231332684","-0.002919752"
"1999","1","Bottom 50%","Households","72967793.9227689","0.62602675","-91620098457.60558","-1255.6237969121","-0.002766486"
"1999","2","Bottom 50%","Households","73269666.77701625","0.62839597","-93909248798.90016","-1281.6934064228","-0.0027479424"
"1999","3","Bottom 50%","Households","73535691.7657362","0.63063312","-113559634161.2378","-1544.2791307792","-0.0033631077"
"1999","4","Bottom 50%","Households","73766030.76872759","0.63411677","-94409374202.72818","-1279.8489117399","-0.0025794774"
"2000","1","Bottom 50%","Households","73964026.55972774","0.63832688","-88266479197.90668","-1193.3703896803","-0.0023320459"
"2000","2","Bottom 50%","Households","74123403.94278191","0.64230585","-103853771824.7869","-1401.0928573242","-0.0027775345"
"2000","3","Bottom 50%","Households","74256786.45502415","0.64607018","-116418994661.1923","-1567.7892919822","-0.0030648129"
"2000","4","Bottom 50%","Households","74396615.98075296","0.64957863","-139917808202.7718","-1880.7012437094","-0.0037726485"
"2001","1","Bottom 50%","Households","74578113.39852725","0.65383822","-108870117594.9315","-1459.8132432388","-0.002979736"
"2001","2","Bottom 50%","Households","74816844.949954","0.65779245","-105697076011.6842","-1412.7443636842","-0.0027969915"
"2001","3","Bottom 50%","Households","75081340.18781026","0.66037631","-172429916086.3121","-2296.5748301108","-0.0047564478"
"2001","4","Bottom 50%","Households","75352905.40719141","0.66243184","-145099865154.9767","-1925.6041206492","-0.0038232835"
"2002","1","Bottom 50%","Households","75625811.0860735","0.66456991","-121724002050.7493","-1609.5563181757","-0.0031613455"
"2002","2","Bottom 50%","Households","75872290.63127325","0.66687304","-143509953051.8108","-1891.4672518488","-0.0038243064"
"2002","3","Bottom 50%","Households","76081545.53741714","0.67008436","-177142784104.1434","-2328.3278862549","-0.0049104756"
"2002","4","Bottom 50%","Households","76275948.05872604","0.67393118","-180319725980.66898","-2364.0443753231","-0.0048800496"
"2003","1","Bottom 50%","Households","76474931.9711886","0.67729104","-181475032004.5581","-2373.0002410846","-0.0049000415"
"2003","2","Bottom 50%","Households","76683207.43208896","0.67962724","-205076392921.2378","-2674.3324880203","-0.0052601739"
"2003","3","Bottom 50%","Households","76892414.13343105","0.68349057","-209336846555.9312","-2722.4642237487","-0.0052588566"
"2003","4","Bottom 50%","Households","77124496.25106835","0.68770075","-189301666558.5356","-2454.4946905363","-0.0045224563"
"2004","1","Bottom 50%","Households","77397635.08729754","0.69256294","-155697893138.1838","-2011.6621517256","-0.0035311124"
"2004","2","Bottom 50%","Households","77709600.41007149","0.69812691","-179116702734.8413","-2304.9494758646","-0.0040131061"
"2004","3","Bottom 50%","Households","78025032.50087245","0.70260942","-186973057159.8922","-2396.3214261757","-0.0041079914"
"2004","4","Bottom 50%","Households","78327652.36289449","0.70804125","-186698236510.8896","-2383.5546052869","-0.003891998"
"2005","1","Bottom 50%","Households","78624516.71634875","0.71367961","-182299392011.9019","-2318.6074729029","-0.0037544266"
"2005","2","Bottom 50%","Households","78891869.08750975","0.71887201","-194308281999.3137","-2462.969685555","-0.0038958536"
"2005","3","Bottom 50%","Households","79120710.48046684","0.72541016","-199085545868.2991","-2516.2254567652","-0.0038768732"
"2005","4","Bottom 50%","Households","79336913.15099645","0.73127949","-193551486608.98602","-2439.6145365602","-0.0036648113"
"2006","1","Bottom 50%","Households","79569129.06239246","0.73643064","-259908368263.3074","-3266.4473185261","-0.0047675492"
"2006","2","Bottom 50%","Households","79826851.00659415","0.74296045","-331846034188.0554","-4157.0728395718","-0.0061136113"
"2006","3","Bottom 50%","Households","80092969.30403095","0.74814469","-392991918321.59204","-4906.6968266566","-0.0071060101"
"2006","4","Bottom 50%","Households","80372576.94518584","0.75094324","-450293110229.9654","-5602.5715156186","-0.0079398093"
"2007","1","Bottom 50%","Households","80681843.21896635","0.75814158","-508514701218.7979","-6302.7154677009","-0.0088418951"
"2007","2","Bottom 50%","Households","81009475.3041044","0.76321024","-591807548929.3795","-7305.4114559781","-0.0101836856"
"2007","3","Bottom 50%","Households","81317120.815884","0.76717275","-682144946259.0121","-8388.7001828742","-0.0116034343"
"2007","4","Bottom 50%","Households","81595630.8640902","0.77042526","-815117923930.6608","-9989.7251274197","-0.0140479599"
"2008","1","Bottom 50%","Households","81841541.43911709","0.77313292","-966909348913.362","-11814.4078411898","-0.0173191642"
"2008","2","Bottom 50%","Households","82040956.0203987","0.77705407","-1001123058869.994","-12202.7229743773","-0.0183916599"
"2008","3","Bottom 50%","Households","82209652.00297","0.78291523","-1183911888425.205","-14401.130032547","-0.022878156"
"2008","4","Bottom 50%","Households","82391628.78985654","0.78477269","-1226946209034.401","-14891.6367725146","-0.0255201899"
"2009","1","Bottom 50%","Households","82631728.30404735","0.78438467","-1276387751533.387","-15446.7028311069","-0.0277047675"
"2009","2","Bottom 50%","Households","82953707.30252571","0.78301424","-1248790580142.223","-15054.0659453348","-0.026625888"
"2009","3","Bottom 50%","Households","83304409.75729184","0.78385633","-1194449595681.71","-14338.3717520087","-0.024489619"
"2009","4","Bottom 50%","Households","83645543.8876797","0.78644013","-1169314151216.637","-13979.3956362673","-0.0238263794"
"2010","1","Bottom 50%","Households","83948162.515671","0.78857827","-1138537096062.456","-13562.3825697188","-0.0227391682"
"2010","2","Bottom 50%","Households","84197880.85385105","0.79242516","-1186520279800.009","-14092.0444525147","-0.0242180234"
"2010","3","Bottom 50%","Households","84405364.31891459","0.79481912","-1137557322343.8608","-13477.3107316467","-0.022297623"
"2010","4","Bottom 50%","Households","84619850.70958525","0.79947507","-1157727752873.9321","-13681.5149538286","-0.0219927842"
"2011","1","Bottom 50%","Households","84901322.58296496","0.80360258","-1158321674516.487","-13643.1523005379","-0.0215668673"
"2011","2","Bottom 50%","Households","85270848.78719984","0.80891061","-1164527812277.83","-13656.8103735428","-0.0216104679"
"2011","3","Bottom 50%","Households","85659190.0517366","0.81391323","-1240952020687.461","-14487.0856231299","-0.0240279616"
"2011","4","Bottom 50%","Households","86020201.513038","0.81489551","-1226066245325.533","-14253.2361440667","-0.0231306527"
"2012","1","Bottom 50%","Households","86316333.03902249","0.81984043","-1182587990716.531","-13700.6282482123","-0.0214357469"
"2012","2","Bottom 50%","Households","86505757.52494065","0.82314241","-1183842671882.213","-13685.1315537107","-0.0215491346"
"2012","3","Bottom 50%","Households","86621480.88538866","0.82741034","-1156217340782.147","-13347.9285849658","-0.0203526921"
"2012","4","Bottom 50%","Households","86740012.12857705","0.83160394","-1145622447901.847","-13207.5430909977","-0.0198542339"
"2013","1","Bottom 50%","Households","86942219.74844594","0.83493078","-1055359801630.221","-12138.6341950291","-0.0175101965"
"2013","2","Bottom 50%","Households","87275326.59596026","0.83730006","-1024674616706.4591","-11740.713632046","-0.0168357035"
"2013","3","Bottom 50%","Households","87666302.39800875","0.84124589","-979579064618.3334","-11173.9521095689","-0.0155563398"
"2013","4","Bottom 50%","Households","88054027.7438953","0.84627324","-990490375537.9478","-11248.6663122189","-0.0152399654"
"2014","1","Bottom 50%","Households","88394510.3197106","0.8497982","-947968885069.0316","-10724.2959052588","-0.0142416659"
"2014","2","Bottom 50%","Households","88635874.13002665","0.85461098","-928827034575.4066","-10479.1321086634","-0.0135756674"
"2014","3","Bottom 50%","Households","88807884.28114454","0.85834223","-897979740108.9689","-10111.4866926249","-0.0130547923"
"2014","4","Bottom 50%","Households","88994497.92483191","0.85977042","-879863771795.3448","-9886.7210031176","-0.0124727288"
"2015","1","Bottom 50%","Households","89286138.72215834","0.859465","-830387762137.9874","-9300.2987252254","-0.0115090131"
"2015","2","Bottom 50%","Households","89722850.64702575","0.8641209","-849023649097.3793","-9462.736002866","-0.0117122968"
"2015","3","Bottom 50%","Households","90187715.3149997","0.86669642","-868313311136.6204","-9627.8446360888","-0.0122186689"
"2015","4","Bottom 50%","Households","90573677.1372736","0.86661386","-815260740847.96","-9001.0780904075","-0.0111969859"
"2016","1","Bottom 50%","Households","90794382.5190525","0.86592042","-783722793310.8708","-8631.8423185092","-0.0106091326"
"2016","2","Bottom 50%","Households","90768444.2387367","0.87203753","-776656894214.587","-8556.4636557155","-0.0103434175"
"2016","3","Bottom 50%","Households","90596705.41165374","0.87445623","-778603533197.9406","-8594.1705016768","-0.0101495251"
"2016","4","Bottom 50%","Households","90412158.2884365","0.87906259","-778393911192.6289","-8609.3942001624","-0.0100676578"
"2017","1","Bottom 50%","Households","90328362.79754609","0.88350385","-710427183110.9581","-7864.9403255902","-0.0089186864"
"2017","2","Bottom 50%","Households","90440777.17990915","0.8863436","-684916053985.3629","-7573.088990853","-0.0084396884"
"2017","3","Bottom 50%","Households","90683402.629209","0.89075184","-642665079304.6935","-7086.9096292345","-0.0077319375"
"2017","4","Bottom 50%","Households","90973741.7767268","0.89708346","-621846779866.4443","-6835.4534805507","-0.0072449917"
"2018","1","Bottom 50%","Households","91250953.57980101","0.90196228","-586319336861.6475","-6425.3502441363","-0.0067571284"
"2018","2","Bottom 50%","Households","91439691.0939127","0.90999448","-583184024227.6517","-6377.7995884598","-0.0066243533"
"2018","3","Bottom 50%","Households","91536867.9833356","0.91299111","-581775962779.9901","-6355.6463706613","-0.0064607188"
"2018","4","Bottom 50%","Households","91578861.6083433","0.91776264","-675922255131.585","-7380.7671689818","-0.0078781183"
"2019","1","Bottom 50%","Households","91603376.76764059","0.92056108","-547299461875.0409","-5974.6647032817","-0.00597439"
"2019","2","Bottom 50%","Households","91692509.91033934","0.9258278","-535953742947.6119","-5845.1202118002","-0.0057250312"
"2019","3","Bottom 50%","Households","91820714.12152354","0.92884094","-539666562414.2827","-5877.3945245083","-0.0057250382"
