date,service
2019-09-01,130164
2019-10-01,130309
2019-11-01,130534
2019-12-01,130772
2020-01-01,131083
2020-02-01,131409
2020-03-01,130067
2020-04-01,111959
2020-05-01,113897
2020-06-01,117923
2020-07-01,119255
2020-08-01,120878
2020-09-01,121733
2020-10-01,122306
2020-11-01,122588
2020-12-01,122396
2021-01-01,122927
2021-02-01,123655
2021-03-01,124204
2021-04-01,124507
2021-05-01,124932
2021-06-01,125466
2021-07-01,126073
2021-08-01,126542
2021-09-01,126912
2021-10-01,127506
2021-11-01,128054
2021-12-01,128502
2022-01-01,128965
